Text Snippet,URLFound,Day,Month,Year,Sentiment Value
"hi stephen   I guess you are asking on how to build uboot for riotboard. below commands  will help you:
  git clone git://github.com/embest-tech/fsl-linaro-toolchain.git
  git clone git://github.com/embest-tech/u-boot-imx.git -b embest_imx_3.0.35_4.0.0
 
  cd u-boot-imx/
  export ARCH=arm
  export CROSS_COMPILE=~/fsl-linaro-toolchain/bin/arm-fsl-linux-gnueabi-
  make distclean
  make mx6solo_RIoTboard_config
  make
 you will get a ""u-boot.bin"" after the build. the  usermanual (p48) shows exactly how to build uboot from an official source. ",http://www.element14.com/community/thread/32447?start=60&tstart=0,28,4,2014,1121
"Ken Lanthorne wrote:
It's obvious that a lot of work went into development on the RiotBoard. I don't believe that they will allow it to die for lack of support. ",http://www.element14.com/community/thread/32447?start=30&tstart=0,13,4,2014,11
"e14 if you're listening, stop doing this, these useless psu's are going straight to landfill. A good example to follow would be the freescale i.MX5-QSB which came with a PSU that had a swappable plug and enough adapters to cover most of the world. E14 admins, please pass selsinork's comments to your engineering division. ",http://www.element14.com/community/thread/26469?start=0&tstart=0,19,8,2013,131
"Go for mainline 3.15-rc kernel and you probably don't get fully accelerated video capabilities, but you do get working video. As far as I can tell, the freescale folks have been doing a really good job of getting all of the drivers for i.MX6 into the mainline kernel, so all that's really needed is the devicetree to glue it all together. We now have a reasonably decent attempt at a devicetree and pretty much everything just works.A couple of problems are the LCD8000-97C that e14 sells has a touch controller that doesn't have a mainline driver, but more importantly, if you apply the current fix for the ethernet interrupt errata then you'll sacrifice touch capability on that display regardless as the fix uses the same pin. ",http://www.element14.com/community/thread/32447?start=45&tstart=0,24,4,2014,111
"I recently re-installed Android onto my board to see whether my monitor converter worked. It works with Linux.The monitor didn't work at first and I was getting a message on the screen saying ""display mode not supported"" so I changed the environment settings to this:setenv bootargs console=ttymxc1,115200 init=/init nosmp video=mxcfb0:dev=hdmi,1280x720M@60,bpp=32 video=mxcfb1:off fbmem=10M vmalloc=400M androidboot.console=ttymxc1 androidboot.hardware=freescale and the Android logo came up (although a a bit big) and so did the android screen. It looks different than the one seen on other pictures though... The HDMI sound also works.One problem that has occured is with the Terminal. ",http://www.element14.com/community/thread/34190?start=0&tstart=0,1,6,2014,101
"Am 13.07.2013 02:37, schrieb Gary Lyons:is there an eagle library that has a part for Freescale MPXV2010DPsensor? --To view any images and attachments in this post, visit:http://www.element14.com/community/message/82952#82952  How about the freescale-lbr or the libraries @ cadsoft? -- Mit freundlichen Grüßen / With best regards Joern Paschedag ",http://www.element14.com/community/thread/25591?start=0&tstart=0,13,7,2013,113
"Hi. I'm new to the freescale area and is going to order a Sabre Lite board. Meanwhile I'm trying to get a better understanding how to develop for a freescale processor.I just wanted to check what the best way is to update for instance the u-boot?Our plan is to use a SSD to boot from and run the linux on.Whan updating the image or the u-boot on the SSD, what is the best method (via a PC or via the Freescale processor).When developing for Linux on the Freescal, do I need to have a JTAG cable? Thanks,Niklas ",http://www.element14.com/community/thread/26552?start=0&tstart=0,22,8,2013,211112
"The Raspberry Pi shook up the entire sector in 2012 with its price point and its popularity, and undoubtedly the other ARM licensees are not going to sit by passively while only one company gets all the popular exposure. Freescale's recent release of i.MX6 is sure to be followed by TI and Samsung and ST and many others with similar devices, encouraged by the public's huge apetite for tablets, smartphones and media devices. My guess is that it's going to be an amazing year to watch on the ARM hardware front. ",http://www.element14.com/community/thread/21378?start=0&tstart=0,5,1,2013,113
"Freescale: Product Brief for S08D Family 8-bit microcontrollers ( DZ, DV, DN ) Not FoundThe requested URL /community/servlet/JiveServlet/downloadBody/30003-102-6-243569/Freescale/HCS08/S08AD/MC9S08DZ60/Learning Centre MCU/Press Release/Freescale.Press_Release_1.pdf was not found on this server. ",http://www.element14.com/community/thread/29228?start=0&tstart=0,12,12,2013,121
"The IMX6 seemed like a better platform for the long term because of the better connectivity options, it's faster, can be had with more cores if needed, etc. I learned most of it by searching the Freescale help boards, reading tutorials for other IMX6 based boards (Wandboard, SabreLite, Marsboard) and searching through the code. I started using an application called searchmonkey which searches the contents of files. ",http://www.element14.com/community/thread/32894?start=15&tstart=0,18,7,2014,112
